,FG,LONG,PCT,PTS,XP,game_id,player_id,stat_type,team_id
0,1/1,32,100.0,3,0/0,401013357,4043783,kicking,2184
1,0/0,0,0.0,0,0/1,401013357,3919110,kicking,2184
2,0/0,0,0.0,5,5/5,401013357,3914330,kicking,113
3,0/0,0,0.0,4,4/4,401013357,4361719,kicking,113
0,0/0,0,0.0,4,4/4,401014972,4251225,kicking,2504
1,2/3,33,66.7,8,2/2,401014972,3916370,kicking,242
2,1/1,36,100.0,3,0/0,401014972,3932253,kicking,242
0,3/3,35,100.0,13,4/4,401022510,4256088,kicking,62
1,0/2,0,0.0,4,4/4,401022510,3124385,kicking,36
0,2/2,39,100.0,9,3/3,401013437,4048735,kicking,2751
1,0/0,0,0.0,1,1/1,401013437,4258650,kicking,166
0,0/0,0,0.0,8,8/8,401019470,3128444,kicking,2116
1,1/1,44,100.0,5,2/2,401019470,3921942,kicking,41
0,1/1,45,100.0,4,1/1,401013328,4258650,kicking,166
1,2/3,27,66.7,12,6/6,401013328,3116051,kicking,135
0,0/0,0,0.0,0,0/1,401020671,4251830,kicking,2115
1,0/1,0,0.0,0,0/0,401020671,4371077,kicking,2115
2,0/1,0,0.0,6,6/6,401020671,3915460,kicking,2050
0,2/2,32,100.0,8,2/2,401021651,3933634,kicking,338
1,1/1,35,100.0,6,3/3,401021651,3917558,kicking,2247
0,1/3,34,33.3,7,4/4,401021655,3911461,kicking,2545
1,2/4,28,50.0,8,2/3,401021655,3138662,kicking,2433
0,1/1,34,100.0,7,4/4,401013342,4242269,kicking,77
1,2/3,38,66.7,9,3/3,401013342,3139103,kicking,2509
0,1/2,34,50.0,5,2/2,401013086,4362020,kicking,154
1,1/1,39,100.0,5,2/2,401013086,4243924,kicking,2655
0,1/1,23,100.0,10,7/7,401014979,3129271,kicking,5
0,1/1,40,100.0,5,2/2,401013489,4380374,kicking,2623
1,1/1,20,100.0,10,7/8,401013489,3919602,kicking,197
0,1/2,42,50.0,4,1/1,401012675,4251127,kicking,2692
1,2/3,35,66.7,11,5/5,401012675,4249087,kicking,254
0,0/2,0,0.0,1,1/1,401012258,4032894,kicking,2466
1,1/1,52,100.0,11,8/8,401012258,3917327,kicking,245
0,0/2,0,0.0,6,6/6,401022511,4029566,kicking,302
1,1/2,29,50.0,8,5/5,401022511,3921678,kicking,23
0,1/1,25,100.0,3,0/0,401013354,3932147,kicking,98
1,2/2,42,100.0,10,4/4,401013354,3121547,kicking,275
0,1/1,40,100.0,7,4/4,401012880,3932960,kicking,328
1,3/3,49,100.0,12,3/3,401012880,4046712,kicking,127
0,1/1,30,100.0,4,1/1,401022512,3139927,kicking,21
1,0/1,0,0.0,3,3/3,401022512,4044456,kicking,24
0,2/2,43,100.0,13,7/7,401020673,4258620,kicking,183
1,0/1,0,0.0,6,6/6,401020673,4240161,kicking,2711
0,1/2,42,50.0,5,2/2,401020672,4030373,kicking,2405
1,1/1,33,100.0,9,6/6,401020672,4363538,kicking,2199
0,0/2,0,0.0,2,2/2,401013089,4258521,kicking,349
1,2/2,30,100.0,10,4/4,401013089,3154423,kicking,150
0,1/1,31,100.0,5,2/2,401022517,4365775,kicking,2502
1,1/2,46,50.0,12,9/10,401022517,4266790,kicking,2440
0,1/1,39,100.0,9,6/6,401012680,4243180,kicking,38
1,2/2,51,100.0,7,1/1,401012680,3124385,kicking,36
0,0/0,0,0.0,2,2/2,401012246,3916394,kicking,97
1,1/2,39,50.0,9,6/7,401012246,3138739,kicking,333
0,0/0,0,0.0,1,1/1,401013088,4248696,kicking,231
1,2/2,49,100.0,11,5/5,401013088,3931390,kicking,228
2,0/0,0,0.0,1,1/1,401013088,3122848,kicking,228
0,0/1,0,0.0,0,0/0,401012250,3927095,kicking,2046
1,1/1,34,100.0,9,6/6,401012250,3915165,kicking,61
0,1/2,23,50.0,7,4/4,401012682,3930271,kicking,204
1,0/0,0,0.0,11,11/11,401012682,3121425,kicking,194
0,3/4,31,75.0,10,1/1,401012248,4245287,kicking,264
1,3/5,53,60.0,9,0/0,401012248,4242519,kicking,2
0,0/0,0,0.0,2,2/2,401013065,4259254,kicking,2226
1,0/1,0,0.0,8,8/8,401013065,3821683,kicking,201
2,0/0,0,0.0,1,1/1,401013065,4360260,kicking,201
0,1/2,38,50.0,8,5/5,401013349,4048151,kicking,2026
1,1/1,32,100.0,9,6/6,401013349,4361424,kicking,213
0,1/1,28,100.0,5,2/2,401012888,4046532,kicking,130
1,1/1,48,100.0,6,3/3,401012888,3932452,kicking,87
0,0/1,0,0.0,3,3/3,401012678,3124883,kicking,2439
1,5/5,47,100.0,19,4/4,401012678,4259641,kicking,30
0,0/0,0,0.0,1,1/1,401013072,4263422,kicking,2582
1,2/2,30,100.0,11,5/5,401013072,4046642,kicking,2628
2,0/0,0,0.0,2,2/2,401013072,3929311,kicking,2628
0,2/2,35,100.0,10,4/4,401012257,4039246,kicking,277
1,0/0,0,0.0,2,2/2,401012257,4047328,kicking,2633
2,0/0,0,0.0,2,2/2,401012257,4242451,kicking,2633
0,2/2,36,100.0,6,0/0,401012254,4052575,kicking,2617
1,0/1,0,0.0,6,6/6,401012254,4047616,kicking,344
2,0/0,0,0.0,3,3/3,401012254,4259813,kicking,344
0,0/1,0,0.0,8,8/8,401021656,3140913,kicking,68
